id,rating,title,content,author,date,helpful_votes,verified_purchase
1,5,정말 만족합니다,배송도 빠르고 제품 상태도 아주 좋습니다.,user001,2026-06-01,12,true
2,4,가성비가 좋네요,가격 대비 성능이 괜찮습니다.,user002,2026-06-02,5,true
3,5,효과가 좋아요,꾸준히 사용해보니 확실히 차이가 납니다.,user003,2026-06-03,24,true
4,3,보통이에요,기대한 것만큼은 아니지만 쓸만해요.,user004,2026-06-04,1,false
5,5,적극 추천합니다,너무 만족스럽습니다. 주변에도 추천했어요.,user005,2026-06-05,9,true
6,1,별로네요,배송도 늦고 제품도 불량입니다.,user006,2026-06-06,2,true
7,4,좋습니다,디자인도 이쁘고 사용하기도 편하네요.,user007,2026-06-07,4,true
8,5,인생템 찾았습니다,저한테 딱 맞는 제품이에요. 매일 씁니다.,user008,2026-05-15,35,true
9,2,아쉽네요,제 체질에는 잘 안 맞는 것 같습니다.,user009,2026-05-18,0,true
10,5,믿고 씁니다,항상 구매하는 제품입니다. 믿음이 가요.,user010,2026-05-20,11,true
11,5,빠른 배송 감사합니다,주문하고 바로 다음날 도착했어요.,user011,2026-05-22,6,true
12,4,선물용으로 샀어요,받으시는 분이 좋아하시네요.,user012,2026-05-25,18,true
13,3,용량이 적어요,생각보다 용량이 너무 작아서 금방 씁니다.,user013,2026-05-28,3,true
14,5,향이 좋아요,자극적이지 않고 은은해서 좋습니다.,user014,2026-05-30,14,true
15,4,무난무난,튀지 않고 데일리로 쓰기 좋네요.,user015,2026-06-01,2,false
16,5,촉촉해요,건조한 편인데 이거 쓰면 하루종일 괜찮아요.,user016,2026-06-02,21,true
17,2,파손되어 왔어요,택배 박스가 찌그러져서 왔네요. 속상합니다.,user017,2026-06-03,1,true
18,5,아이들이 좋아해요,가족 모두가 만족하며 사용 중입니다.,user018,2026-06-04,17,true
19,4,재구매 예정,다 쓰면 또 사러 올게요.,user019,2026-06-05,8,true
20,5,부모님이 좋아하셔요,어르신들 쓰기에도 부담없고 좋습니다.,user020,2026-06-06,42,true
21,5,두번째 구매입니다,처음 써보고 좋아서 다시 주문했습니다.,user021,2026-06-01,5,true
22,4,괜찮은 편이에요,가격 생각하면 이 정도면 훌륭합니다.,user022,2026-06-02,2,true
23,5,효과 만점,피곤함이 많이 사라졌어요. 강력 추천합니다.,user023,2026-06-03,15,true
24,3,그저 그렇네요,특별히 좋은 점도 나쁜 점도 없습니다.,user024,2026-06-04,0,true
25,5,완벽해요,제가 찾던 바로 그 제품입니다.,user025,2026-06-05,10,true
26,1,실망입니다,광고와 너무 다르고 실망스럽습니다.,user026,2026-06-06,4,true
27,4,만족스러워요,디자인도 기능도 모두 만족합니다.,user027,2026-06-07,3,true
28,5,강추합니다,이거 꼭 사세요. 후회 안 합니다.,user028,2026-05-15,25,true
29,2,조금 불편해요,사용법이 너무 복잡하고 어렵네요.,user029,2026-05-18,1,true
30,5,역시 최고,브랜드 믿고 샀는데 역시나 실망시키지 않네요.,user030,2026-05-20,8,true
31,5,배송 최고,총알 배송이네요. 포장도 꼼꼼합니다.,user031,2026-05-22,4,true
32,4,지인 추천으로 샀어요,지인이 추천해서 샀는데 괜찮네요.,user032,2026-05-25,12,true
33,3,크기가 작아요,사진으로 본 것보다 사이즈가 작습니다.,user033,2026-05-28,2,false
34,5,냄새가 안 나요,특유의 냄새가 없어서 쓰기 편합니다.,user034,2026-05-30,9,true
35,4,나쁘지 않아요,매일 무난하게 사용하기 좋습니다.,user035,2026-06-01,1,true
36,5,피부가 좋아졌어요,며칠 썼는데 피부결이 달라진 게 느껴집니다.,user036,2026-06-02,18,true
37,2,유통기한 짧음,유통기한이 너무 짧은 제품이 왔네요.,user037,2026-06-03,3,true
38,5,맛도 좋아요,먹기 편해서 매일 챙겨 먹고 있습니다.,user038,2026-06-04,11,true
39,4,다음에 또 살게요,다 먹어가서 조만간 재주문 하겠습니다.,user039,2026-06-05,5,true
40,5,선물 대성공,받은 분이 너무 마음에 들어하셔서 뿌듯합니다.,user040,2026-06-06,22,true
41,5,최고의 선택,요즘 이것만 씁니다. 최고예요.,user041,2026-06-01,7,true
42,4,가성비 갑,저렴한 가격에 좋은 제품 얻었네요.,user042,2026-06-02,3,true
43,5,진짜 좋아요,속는 셈 치고 샀는데 기대 이상입니다.,user043,2026-06-03,16,true
44,3,그럭저럭,급할 때 쓰기는 좋지만 메인으로는 부족해요.,user044,2026-06-04,0,true
45,5,대박 상품,왜 이제야 알았을까요. 너무 좋습니다.,user045,2026-06-05,13,true
46,1,돈 아까움,품질이 너무 조악합니다. 환불하고 싶어요.,user046,2026-06-06,5,true
47,4,좋은 편,단점도 있지만 장점이 더 많습니다.,user047,2026-06-07,2,true
48,5,정착했습니다,여러 제품 떠돌다가 여기에 정착합니다.,user048,2026-05-15,31,true
49,2,색상이 달라요,화면에서 본 색상과 실제가 많이 다릅니다.,user049,2026-05-18,1,true
50,5,늘 쓰는 제품,언제나 변함없는 품질 감사합니다.,user050,2026-05-20,10,true
51,5,로켓 배송인줄,주문한 날 저녁에 출발해서 다음날 바로 왔어요.,user051,2026-05-22,5,true
52,4,선물용 포장 굿,쇼핑백도 같이 와서 선물하기 좋습니다.,user052,2026-05-25,14,true
53,3,생각보다 무거움,무게감이 좀 있어서 들고 다니긴 힘드네요.,user053,2026-05-28,2,true
54,5,성분이 좋아요,자극적인 성분이 없어서 안심하고 씁니다.,user054,2026-05-30,12,true
55,4,무난한 아이템,크게 호불호 갈리지 않을 무난한 제품.,user055,2026-06-01,1,false
56,5,보습력 짱,겨울철 건조함이 싹 사라졌습니다.,user056,2026-06-02,19,true
57,2,포장 불량,뽁뽁이 없이 와서 상자가 다 찢어졌네요.,user057,2026-06-03,2,true
58,5,맛있어서 놀람,몸에 좋은 건 맛없다는 편견을 깼습니다.,user058,2026-06-04,15,true
59,4,재구매,저번에 써보고 좋아서 또 샀어요.,user059,2026-06-05,7,true
60,5,가족 모두 대만족,집에 두고 온 가족이 함께 씁니다.,user060,2026-06-06,28,true
61,5,세번째 재구매,꾸준히 쓰니까 확실히 다르네요.,user061,2026-06-01,6,true
62,4,품질 괜찮음,이 가격대에서는 최고의 품질인듯 합니다.,user062,2026-06-02,4,true
63,5,적극 권장,고민하시는 분들 그냥 사세요.,user063,2026-06-03,17,true
64,3,보통,크게 좋지도 나쁘지도 않아요.,user064,2026-06-04,0,true
65,5,너무 이뻐요,디자인이 정말 마음에 쏙 듭니다.,user065,2026-06-05,11,true
66,1,최악의 경험,고객센터 대응도 별로고 제품도 별로.,user066,2026-06-06,6,true
67,4,만족,전체적으로 만족스럽게 사용 중입니다.,user067,2026-06-07,3,true
68,5,대만족,제가 써본 비슷한 제품들 중 원탑.,user068,2026-05-15,33,true
69,2,사이즈 미스,상세 페이지 사이즈표가 안 맞는 것 같아요.,user069,2026-05-18,2,true
70,5,항상 쟁여둡니다,세일할 때마다 여러 개 쟁여두는 템.,user070,2026-05-20,9,true
71,5,배송 짱,급하게 필요했는데 제때 왔습니다.,user071,2026-05-22,5,true
72,4,선물로 주니 좋아함,친구 생일 선물로 줬는데 아주 맘에 들어하네요.,user072,2026-05-25,16,true
73,3,좀 달아요,제 입맛에는 단맛이 너무 강합니다.,user073,2026-05-28,1,false
74,5,향기 뿜뿜,바르고 나가면 사람들이 무슨 향수냐고 물어봐요.,user074,2026-05-30,20,true
75,4,무난,가격 부담 없이 막 쓰기 좋습니다.,user075,2026-06-01,2,true
76,5,트러블 진정,올라왔던 트러블이 이거 쓰고 싹 가라앉았어요.,user076,2026-06-02,23,true
77,2,개봉씰 훼손,누가 뜯었던 흔적이 있네요. 교환 귀찮아 그냥 씁니다.,user077,2026-06-03,4,true
78,5,목넘김이 편함,알약이 작아서 삼키기 편안합니다.,user078,2026-06-04,14,true
